,uuid,city,visual_complexity
143,5d762d80-9186-424d-b15f-e7cc0a8813c9,Amsterdam,1.8208497655036464
144,5ac2b04e-c76a-4be0-8f41-2a78f9fd4948,Amsterdam,1.4139553460346148
145,970af43a-a3d2-4030-86de-81e34c6aae54,Amsterdam,1.9087386784963347
146,f5df4524-9ba0-40b6-90c9-aed590f44d3f,Amsterdam,1.4142573428794105
147,8868aeac-f1dd-43b7-bb4d-dc88e3a2fe2e,Amsterdam,1.761722807225715
148,25b9083c-38ea-4b25-8e01-6c4eb85e13ac,Amsterdam,1.3723354201883637
149,8ea06b93-9387-4ffa-9846-1a3cb19559e6,Amsterdam,1.723997512370489
150,477abbe0-eff3-4c4f-91d5-42b3d2559339,Amsterdam,1.8792677423609994
151,26f0acdd-bd23-44fb-8926-757453b959fe,Amsterdam,1.1661962252036329
152,c3dd8355-e3c4-446b-88a6-5b7ee22b299d,Amsterdam,1.7690241565978229
153,2acc3d48-5d55-4de6-9215-f86adfc09d5e,Amsterdam,1.7365537243311286
154,6001e4f5-1c6f-4e12-8116-ab5afb792d5b,Amsterdam,1.4590225745515275
155,de718fcc-5f53-4ae4-a6b2-bdc9f2338f17,Amsterdam,1.2842647262462177
156,43908163-bbb9-4d86-ac2b-6156bfa7b5b8,Amsterdam,1.1028332913944214
157,cb555a9c-8634-40a5-b12f-9d83937fdedc,Amsterdam,2.0801248129236467
158,8ff74a3e-1501-4d77-8ecc-09168ee3dadb,Amsterdam,1.5295979002194382
159,5409be08-dc5e-418a-a263-80e4edb1ca4d,Amsterdam,2.1493530790927426
160,32c8a4ad-8e9d-40aa-ab30-1affd2d9b5bb,Amsterdam,1.884573404545985
161,7bcfe5d2-b7d7-412f-896e-cf17aefff679,Amsterdam,1.6362945955898045
162,272116be-d6b2-444e-b8f7-f48687826a37,Amsterdam,1.8137203757695284
163,b754b5ab-ae30-44c7-a76c-52ed5b2de389,Amsterdam,1.7719144731926937
164,f2bb1e69-c19c-453c-99f2-e001360eeaed,Amsterdam,1.550872044305188
165,b1c37037-ec71-429e-bd0e-220bd4543688,Amsterdam,1.7516005629210845
166,4fd8d540-1ca2-4cad-a140-3b86cc1bc140,Amsterdam,1.6315890561867747
167,41c4a024-fe31-4ac2-b6c4-be9bd9b0bf9a,Amsterdam,1.4786921759850389
168,2f20418a-1e93-40a3-9ff9-4bd75915f401,Amsterdam,1.7888108612758136
169,0828aa70-9ed9-4100-8248-f188fa8e3a8e,Amsterdam,1.3694835225347877
170,a63a4891-ea7a-4a52-be5a-4e19ac0314b0,Amsterdam,1.44608897209179
171,5fff9c53-25c0-4cf7-aba6-a08cff44196b,Amsterdam,1.3522847606145785
172,27238f5a-764b-4d09-b0ed-ceba6d0c6bbd,Amsterdam,2.0349093972201566
173,765ff083-0d69-4a41-9963-eddb5410ea90,Amsterdam,1.6307444076686233
174,ccf0c5e9-9cd3-46f9-af46-8bbf1dbdc65d,Amsterdam,1.1113652890656416
175,2f4e9d7a-8c7d-44ea-ba7a-23787877776f,Amsterdam,1.6385303174020684
176,732b5307-e188-4d83-beb9-afc7f8c55bbf,Amsterdam,1.4997043837989763
177,723edf04-230d-49f1-848d-7335ad83de94,Amsterdam,1.5967520866552176
178,f9a31203-31c6-4ffd-a43a-73f33da920b3,Amsterdam,1.9879012433570513
179,1816b7d3-4ea1-497f-b631-2aeba3353103,Amsterdam,1.5470175501066246
180,1c2dbf83-3aa9-49c8-8e96-351adc2599d8,Amsterdam,1.6791519009003628
181,3a656543-fe8d-47f6-9dd1-a7a80fa3c6df,Amsterdam,2.0531488496177523
182,193a4027-8395-4038-9c63-ee400af77b9a,Amsterdam,1.215663353316698
183,efccd24d-79d5-457f-a749-a9ed265164d5,Amsterdam,1.9020821645715686
184,22d10fa1-5a75-4df0-817f-99606d0281cb,Amsterdam,1.1654444014130674
185,d9e0d5a3-9837-4976-b6d7-ca9aee364e09,Amsterdam,1.557608158517601
186,a0f34cd2-262f-4469-85d6-574d7f8a1e0e,Amsterdam,1.2806102126195968
187,344eddc9-891e-43fc-8765-623d8d5b671a,Amsterdam,1.7182092411000678
188,70d1d19b-425d-4513-a4bd-b489ddfefdbc,Amsterdam,1.7800230039173859
189,b7449168-48a5-431a-8716-1ac98ec549fb,Amsterdam,1.6541452386031612
190,8e52374f-4708-4713-940c-581560feb2fa,Amsterdam,1.714151840362574
191,887130bd-1ff7-4715-ae54-3fcb72310372,Amsterdam,1.6120610777955304
192,f7d0e3b8-4f32-4b18-b1c4-e23b470ae648,Amsterdam,1.5565646629240086
193,19da484f-1243-48c4-a610-7195221db3f6,Amsterdam,1.6251855914157523
194,5148406c-fb73-4f20-ac5b-139e2dbfd889,Amsterdam,1.6831639418955266
195,9bdee209-cbf0-4cc7-aed7-69cfc2da463b,Amsterdam,1.8386270229388906
196,ad9941fc-9fc7-450c-b492-72d2618679e5,Amsterdam,1.7423730574184368
197,9daaf15c-6dd4-4d67-ae38-abead931542b,Amsterdam,1.7547193628541735
198,b809bd10-9c0a-4ca7-be6c-c330345ed7f1,Amsterdam,1.6181197046599984
199,16aeb88b-bace-4621-a969-20ae38b70eee,Amsterdam,2.2400482839665194
200,8487ea58-2351-4838-8e83-0a5178d2ae08,Amsterdam,1.7737144947037233
201,8ee3b005-ba2b-4bb6-9a0f-444a1fc97107,Amsterdam,1.4028714865394671
202,0cfe3ab7-1f16-43bc-ab0a-8c90f3ea8520,Amsterdam,1.1484154455891957
